experiment_id,architecture,n_examples,fixture_offline,em,em_ci_low,em_ci_high,f1,f1_ci_low,f1_ci_high,lexical_sim,lexical_sim_ci_low,lexical_sim_ci_high,abstention_correct,abstention_correct_ci_low,abstention_correct_ci_high,recall@k,recall@k_ci_low,recall@k_ci_high,mrr,mrr_ci_low,mrr_ci_high,latency_ms,latency_ms_ci_low,latency_ms_ci_high,model_calls,model_calls_ci_low,model_calls_ci_high,retrieval_calls,retrieval_calls_ci_low,retrieval_calls_ci_high,tokens,tokens_ci_low,tokens_ci_high
offline_fixture_compare_rag,rag,13,True,0.8461538461538461,0.6153846153846154,1.0,0.8095238095238095,0.5894688644688644,0.989010989010989,0.7884615384615384,0.5576923076923077,0.9807692307692307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7810373846181252,0.6382171038725258,1.0043969558064592,1.0,1.0,1.0,1.0,1.0,1.0,294.38461538461536,288.99807692307695,300.5403846153846
offline_fixture_compare_single_agent,single_agent,13,True,0.8461538461538461,0.6153846153846154,1.0,0.8095238095238095,0.5894688644688644,0.989010989010989,0.7884615384615384,0.5576923076923077,0.9807692307692307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9648000000197499,0.8446279154065032,1.1585604019356965,3.0,3.0,3.0,1.0,1.0,1.0,654.3076923076923,642.8461538461538,668.6942307692308
offline_fixture_compare_multi_agent,multi_agent,13,True,0.8461538461538461,0.6153846153846154,1.0,0.8095238095238095,0.5894688644688644,0.989010989010989,0.7884615384615384,0.5576923076923077,0.9807692307692307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3576280768680031,1.2632319076382934,1.462966198016602,4.3076923076923075,4.076923076923077,4.538461538461538,2.3076923076923075,2.076923076923077,2.5384615384615383,1625.4615384615386,1482.2250000000001,1781.4788461538462
