experiment_id,architecture,n_examples,fixture_offline,em,em_ci_low,em_ci_high,f1,f1_ci_low,f1_ci_high,lexical_sim,lexical_sim_ci_low,lexical_sim_ci_high,abstention_correct,abstention_correct_ci_low,abstention_correct_ci_high,recall@k,recall@k_ci_low,recall@k_ci_high,mrr,mrr_ci_low,mrr_ci_high,latency_ms,latency_ms_ci_low,latency_ms_ci_high,model_calls,model_calls_ci_low,model_calls_ci_high,retrieval_calls,retrieval_calls_ci_low,retrieval_calls_ci_high,tokens,tokens_ci_low,tokens_ci_high
live_gpt4o_mini_compare_rag,rag,13,False,0.6923076923076923,0.46153846153846156,0.9230769230769231,0.19117183985605038,0.1182481443994602,0.2593395748987854,0.1211965330919146,0.07226774215603401,0.1662732893861483,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,819.5104973846566,637.7896105519487,1033.1384158327182,1.0,1.0,1.0,1.0,1.0,1.0,299.84615384615387,289.7673076923077,309.8538461538462
live_gpt4o_mini_compare_single_agent,single_agent,13,False,0.6923076923076923,0.46153846153846156,0.9230769230769231,0.19089170378996115,0.11623622545236258,0.2599240890688259,0.1210201743629243,0.07184602291755267,0.16652325303811494,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2603.988983538679,1743.4151862868282,3513.8018908136314,4.230769230769231,3.075,5.384615384615385,2.3846153846153846,1.3076923076923077,3.463461538461537,1460.3076923076924,871.7038461538461,2059.1
live_gpt4o_mini_compare_multi_agent,multi_agent,13,False,0.6923076923076923,0.46153846153846156,0.9230769230769231,0.17742240215924426,0.11154132928475033,0.24585779352226722,0.11119766662753089,0.06693223081797742,0.15647441838052698,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5625.20344830773,5165.95745454993,6098.548186767534,5.0,5.0,5.0,3.0,3.0,3.0,2330.6923076923076,2300.75,2366.3250000000003
